ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{98C274DC-20CD-46F1-BE66-FD079DBA9E02},741408,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{BAEFA828-C7FB-4A50-8C06-B885A4A8AAB1},741409,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{C570B59E-0B31-482D-86D4-49C6EA7C5BA4},741410,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{3708261C-5579-4CC5-8B01-93DABE7918CE},741411,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{CCB80108-C8DF-4252-9DF4-0B61136936AB},741412,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{544A8BF5-9757-46EA-A551-86B92F8E6561},741413,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{9FF99485-9EC2-4F2B-8689-29FDAF9E95E4},741414,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{8ED203AB-26B2-4940-B7F9-DE5B7B9239D0},741415,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{97C21E75-0EE7-45C3-A5B5-23DD1E80CBB3},741416,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{3B1E004D-07DB-4819-B372-4B62F17BC909},741417,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{80AFEDA3-55E5-47C5-958D-DEFC169720AC},741418,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{CFF7CF0D-39BA-4C2C-ADB4-B15DD6E6A0F9},741419,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{3EE1A6E0-6C8E-4C53-8203-E96DCE6B44E5},741420,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{7CF00284-C43D-42EF-816A-6098EE53594A},741421,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{29732C2B-3DE4-4FC0-9A96-C781BB09FCFB},741422,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{B52F258D-6260-4D50-9F00-F367CB618B7E},741423,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{A0113E8B-B9AB-4728-A1D7-51BD79C9999E},741424,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{5FC46F1B-BFD4-4955-BC74-F5C3B11D82F4},741425,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{617020BF-4591-4ABA-802C-FD07CE31C8EA},741426,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{FA1FC5B2-40CB-4BA8-B138-D3C6BB6FECD1},741427,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{E41DF288-5D35-4A14-ADA3-EC68520EE06B},741428,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{AC1E8BE2-D209-43C5-9E30-9A1BCE308A05},741429,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{66086789-D65D-4233-8891-9DD5355E9677},741430,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{CB553165-60F2-420B-9B78-BC901DCFE96F},741431,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{68913EBF-ECCC-45F8-AB5A-8D1AC1FCB522},741432,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{8A67C2B4-75A3-4FE1-999D-42A1F8D1FD9F},741433,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{6CF03A30-0177-466B-8810-C8C413C9018E},741434,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{34333C89-69F2-4902-8AC1-7426C7831A92},741435,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{997920F0-6204-4488-9C8F-7BD267B10240},741436,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{E201F628-0EFC-4AAF-9604-B4DD94770CB8},741437,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{1B7A836B-D8A2-48D2-A478-8A582FB916A9},741438,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{1CA41AEF-9293-48EC-9AE9-8E359895F862},741439,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{7F00312C-698E-4386-BFF5-6357C0E3AF61},741440,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{6EEA9A21-FBA2-46AB-AAA2-3157DB09E2A0},741441,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{30B48B83-8632-46BE-A53B-A02949D0C5FD},741442,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{2383AD8B-8167-49A8-8056-DA161C97560A},741443,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{6C25F3C2-47AA-4079-BC0F-AB61E35A2CBF},741444,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{1052A14A-D127-4A46-84FC-5775A76BFC52},741445,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{D77EEF2C-980C-4911-846C-0B9A0D2969A6},741446,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{CD81ADB4-245B-4C52-9E31-278084D82BD0},741447,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{61DBF6F9-D1E1-423B-83AC-6B0454F88E10},741448,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{F53FB2DC-379A-4EEB-8672-E27A0B6F3D0E},741449,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{7FDEC844-6090-4D90-B7F5-A6FFA5946011},741450,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{18D1FC56-DBA8-4E94-9689-ECE70FC0DC19},741451,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{789E0F13-973C-4591-8759-2C4EBB8567D6},741452,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{2CE69817-A172-4377-A89F-3A04CFAB0738},741453,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{1979A2F9-2F43-44A8-BBE7-0BB7A15A9579},741454,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{50E9A330-3D5C-407E-AE7C-99C7FDAAC988},741455,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{C546B727-3BBC-4A45-B8A0-EFC00086732B},741456,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{78684DE3-6D6F-45CE-A87F-F492FEC78CD3},741457,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{0B4AD67E-DB05-48C2-AEC3-A81217B916A2},741458,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{CB4F4835-9A8B-4B30-BAAC-454F13FE37F5},741459,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{DF98F51C-C027-4B6E-AE6F-5B5750C277C0},741460,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{40AEBB7E-37BA-4798-940E-5FA8D2F052C5},741461,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{6B705744-EFC9-4099-A5C4-A70F547FFED4},741462,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{00B7B4B5-8287-4E0C-9BBB-6D827C2642AD},741463,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{8191BBAC-532D-4740-84A8-02D1E45F3869},741464,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{4BA45BED-FD1E-45C1-9C09-B607ABD34433},741465,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{27ECFFC5-72CB-4668-B68B-ABF5B36F0892},741466,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{62E3B981-B434-45E6-A4ED-DF8021CF18A7},741467,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{430C807F-39AF-4AE1-B401-E07BE8BA2D6A},741468,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{72E73279-4261-4964-87A7-29206B6F279E},741469,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{7C6F211E-2B36-41E6-8394-1CFB4C5CB219},741470,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{6A75CF8F-731E-471C-960B-5821BDE9BE7B},741471,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{5D2C1ABA-8578-42CD-AD1A-2E454CD94F93},741472,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{DE618214-1762-4248-861E-93263736D79A},741473,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{570C81BB-CD96-4F7B-BFD3-1AD3BB8AC188},741474,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{6E865B48-CF46-4830-BDD4-D74A83B5D3B9},741475,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{827D4217-5DFF-4386-A6E4-D52C96CCC6F0},741476,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{1C2DEE8E-C5F3-4BD1-A3B4-BF95B12D979B},741477,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{701E9D9C-7D18-4033-BDDD-E3EB0BD78592},741478,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{87313935-71CE-413B-B7AF-4D539529B7B9},741479,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{21FD5AAF-3560-49D2-93EA-20DC8323C665},741480,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{A7E484B7-82D0-475F-A741-42BFA42A5C33},741481,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{F7E381FC-99CE-4F2F-BB23-66C34A7242ED},741482,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{9E5E52E0-33F2-4D68-B78C-B65A9B76898F},741483,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{E12776C9-BACE-41D7-8818-6572797FA168},741484,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{89E022BF-07AD-4D98-9DAA-680CAB0F4BD4},741485,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Fixed mapping error in Square 1282 on March 13, 2012",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{5BA888E7-7A9F-4F84-ACC4-1F4FEEC58B97},741486,0,0
MU-27,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-27/,"Fixed mapping error on March 13, 2012 by Naval observatory to match 1996 official zoning map; Fixed mapping error in Square 1300 on April 20, 2012",Final,MU-27,Permits moderate density mixed-use development in the vicinity of the U.S. Naval Observatory,Mixed-Use Zone,,NO/C-2-A,MU-27,{FDF73CD6-A005-4F77-AEBD-6A6575BF50D6},741487,0,0
R-19,https://handbook.dcoz.dc.gov/zones/residential/R-19/,,,R-19,Permits detached houses on moderately-sized lots,Residential Zone,,NEW ZONE,R-19,{6FE4B600-2973-4D1E-BCCC-EEFF60350C90},741488,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{E2BA832D-73DE-4931-9F51-5C9AA9539BEB},741489,0,0
UNZONED,https://handbook.dcoz.dc.gov/,"Rechanged to Unzoned 3/15/17, Federal Land",Final,UNZONED,Unzoned,Unzoned,,UNZONED,UNZONED,{368AADAE-4FCD-4A91-A561-33E8E786E5FB},741490,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{EBFD0D76-3EB4-4C0C-9357-41E12DB6F0DA},741491,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{79DA25FB-526A-4A22-AE75-E8332964E6FB},741492,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{D2C3E202-FFA6-4096-BF2A-14FA1518104C},741493,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{10497016-DC3D-4EE3-BF00-73CDCE931F02},741494,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{59D3AED7-32F7-4728-9489-3A5247DD2F8C},741495,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{6192D879-018A-41D8-95B1-5190B5370A81},741496,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{02382BBA-4408-4CC9-9990-8E6FD4820B51},741497,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{62F9D46B-03B4-40E7-8394-493C5C0BBF73},741498,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{AC150353-B5B0-42B4-9297-7E61C170C4ED},741499,0,0
