ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{5DFEB36A-52C3-43A4-8910-38822D90E532},741037,0,0
PDR-3,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-3/,Map Correction per official Zoning Map of 1958 ,Final,PDR-3,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-3,PDR-3,{EB0AC264-1B36-4615-A035-A6BC8626A63A},741038,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Fixed zoning boundary in Square 750, Lots 811 and 812 to match official zoning records on Feb 13, 2020",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{6904D385-38E3-4ED9-AE33-2955F515331E},741039,0,0
MU-13,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-13/,"Official Digital Zoning Map of July 1, 2010",Final,MU-13,Permits medium density mixed-use development in the vicinity of the waterfront,Mixed-Use Zone,,W-2,MU-13,{B1C112CB-53E1-4E9D-856B-C06982F9EAA4},741040,0,0
D-4,https://handbook.dcoz.dc.gov/zones/downtown/d-4/,"Official Digital Zoning Map of July 1, 2010",Final,D-4,Permits high-density development of commercial and mixed uses,Downtown Zone,,C-3-C,D-4,{7BF0F05F-77ED-4D19-843F-28D9CCC96D07},741041,0,0
D-4,https://handbook.dcoz.dc.gov/zones/downtown/d-4/,"Official Digital Zoning Map of July 1, 2010",Final,D-4,Permits high-density development of commercial and mixed uses,Downtown Zone,,HR/C-3-C,D-4,{D069CB33-5382-45D5-9402-3E6E2AD4BDCD},741042,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{230C0493-12F2-4D34-91E0-3A29610EC19D},741043,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Changed Zoning Boundary on Feb 29, 2012 to run along the center line of the alley in Square 0099 between lots ",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{8C489726-A152-4B99-9353-9A2F27F0FE60},741044,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{5368A392-97A8-4810-8F57-1AFE9045B066},741045,0,0
D-5,https://handbook.dcoz.dc.gov/zones/downtown/d-5/,"Changed Zoning Boundary on Feb 29, 2012 to run along the center line of the alley in Square 0099 between lots 48 and 53. Fixed Zoning Boundary in Lot 874 Square 0101 on March 2, 2012 to extend it to the center line of the alley ",Final,D-5,Promotes high-density development of commercial and mixed-uses in areas that had been receiving areas for transferable development rights under Chapter 17 of the 1958 Zoning Regulations,Downtown Zone,,C-3-C,D-5,{6DDF396C-F146-4025-9CC8-2C1AEED37810},741046,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{940C32DC-D352-4A9A-A132-D5B8866C7D08},741047,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Fixed Map Error, March 15, 2011; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{BCFC4806-C5D1-4C69-8B17-12F9FCEA7F36},741048,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Fixed Error mapping Case 87-34, 04/01/2011, March 13, 2012",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{15D56E7A-9B23-4857-8681-F6F815975C9B},741049,0,0
PDR-4,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-4/,"Temporarily Update Map until Correction MA filed, 06/27/11",Final,PDR-4,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery, minimizing non-industrial uses","Production, Distribution, and Repair Zone",,M,PDR-4,{43DFD6DE-5579-446E-B101-23EF1276FB80},741050,0,0
MU-6B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Order 11-04, 09/12/2011; ZC 21-08 renamed zone from MU-6 to MU-6B",Final,MU-6B,Permits medium to high density mixed-use development with a focus on residential use,Mixed-Use Zone,,C-2-C,MU-6B,{6C085712-F638-4614-B02B-C8ED411B6613},741051,0,0
