X,Y,OBJECTID,FEATURECODE,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,GIS_ID
-77.027732003108,38.8844631203327,7362,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5469
-77.0276922221567,38.884448148827,7363,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5468
-77.0237758125752,38.8844313823849,7364,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5466
-76.996243706529,38.8844320488357,7365,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5995
-76.9729677320845,38.884406757729,7366,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_8583
-76.9733681808382,38.8844049939896,7367,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8582
-76.973263171362,38.8844024386441,7368,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8580
-76.9732863494969,38.8844024349388,7369,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8579
-76.9730090886709,38.8844002542299,7370,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8577
-77.0237765949917,38.8843928083193,7371,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5465
